headline,article_link,is_sarcastic,date
The New Yorker Wins Six National Magazine Awards,https://www.newyorker.com//news/news-desk/the-new-yorker-wins-six-national-magazine-awards,1,"June 10, 2021"
An Ode to the No-Hitter,https://www.newyorker.com//sports/sporting-scene/an-ode-to-the-no-hitter,1,"June 7, 2021"
"The Ridiculous, Not-So-Ridiculous Spectacle of Floyd Mayweather vs. Logan Paul",https://www.newyorker.com//sports/sporting-scene/the-ridiculous-not-so-ridiculous-spectacle-of-floyd-mayweather-vs-logan-paul,1,"June 5, 2021"
What if Pro Sports Leagues Were Controlled by Their Players?,https://www.newyorker.com//sports/sporting-scene/what-if-pro-sports-leagues-were-controlled-by-their-players,1,"June 3, 2021"
"Knicks Fans Are Together Again, for Better and Worse",https://www.newyorker.com//culture/dept-of-returns/knicks-fans-are-together-again-for-better-and-worse,1,"June 2, 2021"
Naomi Osaka Takes a Complicated Stand,https://www.newyorker.com//sports/sporting-scene/naomi-osaka-takes-a-complicated-stand,1,"June 1, 2021"
"The French Open Returns, with Hope for Tennis’s Next Great Rivalry",https://www.newyorker.com//sports/sporting-scene/the-french-open-returns-with-hope-for-tenniss-next-great-rivalry,1,"May 30, 2021"
How Hacking Became a Professional Service in Russia,https://www.newyorker.com//news/news-desk/how-hacking-became-a-professional-service-in-russia,1,"May 23, 2021"
Steph Curry’s Desperately Brilliant Season Comes to an End,https://www.newyorker.com//sports/sporting-scene/steph-currys-desperately-brilliant-season-comes-to-an-end,1,"May 22, 2021"
No Safe Place in Gaza,https://www.newyorker.com//news/news-desk/no-safe-place-in-gaza,1,"May 17, 2021"
The New Yorker Wins Six National Magazine Awards,https://www.newyorker.com//news/news-desk/the-new-yorker-wins-six-national-magazine-awards,1,"June 10, 2021"
An Ode to the No-Hitter,https://www.newyorker.com//sports/sporting-scene/an-ode-to-the-no-hitter,1,"June 7, 2021"
"The Ridiculous, Not-So-Ridiculous Spectacle of Floyd Mayweather vs. Logan Paul",https://www.newyorker.com//sports/sporting-scene/the-ridiculous-not-so-ridiculous-spectacle-of-floyd-mayweather-vs-logan-paul,1,"June 5, 2021"
What if Pro Sports Leagues Were Controlled by Their Players?,https://www.newyorker.com//sports/sporting-scene/what-if-pro-sports-leagues-were-controlled-by-their-players,1,"June 3, 2021"
"Knicks Fans Are Together Again, for Better and Worse",https://www.newyorker.com//culture/dept-of-returns/knicks-fans-are-together-again-for-better-and-worse,1,"June 2, 2021"
Naomi Osaka Takes a Complicated Stand,https://www.newyorker.com//sports/sporting-scene/naomi-osaka-takes-a-complicated-stand,1,"June 1, 2021"
"The French Open Returns, with Hope for Tennis’s Next Great Rivalry",https://www.newyorker.com//sports/sporting-scene/the-french-open-returns-with-hope-for-tenniss-next-great-rivalry,1,"May 30, 2021"
How Hacking Became a Professional Service in Russia,https://www.newyorker.com//news/news-desk/how-hacking-became-a-professional-service-in-russia,1,"May 23, 2021"
Steph Curry’s Desperately Brilliant Season Comes to an End,https://www.newyorker.com//sports/sporting-scene/steph-currys-desperately-brilliant-season-comes-to-an-end,1,"May 22, 2021"
No Safe Place in Gaza,https://www.newyorker.com//news/news-desk/no-safe-place-in-gaza,1,"May 17, 2021"
The Pleasures of LearnedLeague and the Spirit of Trivia,https://www.newyorker.com//sports/sporting-scene/the-pleasures-of-learnedleague-and-the-spirit-of-trivia,1,"May 17, 2021"
How a Sexual-Harassment Suit May Test the Reach of #MeToo in China,https://www.newyorker.com//news/news-desk/how-a-sexual-harassment-suit-may-test-the-reach-of-metoo-in-china,1,"May 12, 2021"
The New Yorker Receives Fourteen National Magazine Award Nominations,https://www.newyorker.com//news/news-desk/the-new-yorker-receives-fourteen-national-magazine-award-nominations,1,"May 8, 2021"
"The Secret Papers of Lee Atwater, Who Invented the Scurrilous Tactics That Trump Normalized",https://www.newyorker.com//news/news-desk/the-secret-papers-of-lee-atwater-who-invented-the-scurrilous-tactics-that-trump-normalized,1,"May 6, 2021"
"Surviving the Crackdown in Xinjiang, in Mandarin",https://www.newyorker.com//news/news-desk/surviving-the-crackdown-in-xinjiang-in-mandarin,1,"May 1, 2021"
Watch Highlights from “How Memes Become Money”,https://www.newyorker.com//news/news-desk/watch-highlights-from-how-memes-become-money,1,"May 1, 2021"
"The Transformation of a Soccer Club, and the Ways We Value Women’s Sports",https://www.newyorker.com//sports/sporting-scene/the-transformation-of-a-soccer-club-and-the-ways-we-value-womens-sports,1,"April 30, 2021"
The Secret Footage of the N.R.A. Chief’s Botched Elephant Hunt,https://www.newyorker.com//news/news-desk/the-secret-footage-of-nra-chief-wayne-lapierres-botched-elephant-hunt,1,"April 27, 2021"
The Audacity and Greed of the Super League,https://www.newyorker.com//sports/sporting-scene/the-audacity-and-greed-of-the-super-league,1,"April 21, 2021"
The Union Battle at Amazon Is Far from Over,https://www.newyorker.com//news/news-desk/the-union-battle-at-amazon-is-far-from-over,1,"April 13, 2021"
The Moms Who Are Battling Climate Change,https://www.newyorker.com//news/news-desk/the-moms-who-are-battling-climate-change,1,"April 12, 2021"
Mario González Still Wants to Know Why the Police Held Him After the Atlanta Shooting,https://www.newyorker.com//news/news-desk/mario-gonzalez-still-wants-to-know-why-the-police-held-him-after-the-atlanta-shooting,1,"March 29, 2021"
Inside the Koch-Backed Effort to Block the Largest Election-Reform Bill in Half a Century,https://www.newyorker.com//news/news-desk/inside-the-koch-backed-effort-to-block-the-largest-election-reform-bill-in-half-a-century,1,"March 29, 2021"
Cuomo’s First Accuser Raises New Claims of Harassment and Retaliation,https://www.newyorker.com//news/news-desk/cuomos-first-accuser-raises-new-claims-of-harassment-and-retaliation,1,"March 18, 2021"
"The Story of the Comfort Women, in Korean and Japanese",https://www.newyorker.com//news/news-desk/the-story-of-the-comfort-women-in-korean-and-japanese,1,"March 13, 2021"
Why COVID-19 Vaccines Aren’t Yet Available to Everyone,https://www.newyorker.com//science/annals-of-medicine/why-covid-19-vaccines-arent-yet-available-to-everyone,1,"March 13, 2021"
The New Yorker’s Luke Mogelson Wins a George Polk Award,https://www.newyorker.com//news/news-desk/the-new-yorkers-luke-mogelson-wins-a-george-polk-award,1,"February 24, 2021"
