,path,label
0,label_2/Ti_s cam/label_2.01_15_35_27.Still052.jpg,label_2/Ti_s cam/label_2.01_15_35_27.Still052.json
1,label_1/Kha_s cam/Binh_cam.00_14_26_07.Still068.jpg,label_1/Kha_s cam/Binh_cam.00_14_26_07.Still068.json
2,label_2/Ti_s cam/label_2.01_37_16_25.Still176.jpg,label_2/Ti_s cam/label_2.01_37_16_25.Still176.json
3,label_2/Kha_s cam/label_2.01_20_30_22.Still134.jpg,label_2/Kha_s cam/label_2.01_20_30_22.Still134.json
4,label_2/Kha_s cam/label_2.01_21_01_28.Still143.jpg,label_2/Kha_s cam/label_2.01_21_01_28.Still143.json
5,label_1/Ti_s cam/Binh_cam.00_39_06_10.Still179.jpg,label_1/Ti_s cam/Binh_cam.00_39_06_10.Still179.json
6,label_2/Ti_s cam/label_2.01_17_52_08.Still090.jpg,label_2/Ti_s cam/label_2.01_17_52_08.Still090.json
7,label_1/Kha_s cam/Binh_cam.00_38_32_25.Still171.jpg,label_1/Kha_s cam/Binh_cam.00_38_32_25.Still171.json
8,label_1/Ti_s cam/Binh_cam.00_05_09_09.Still021.jpg,label_1/Ti_s cam/Binh_cam.00_05_09_09.Still021.json
9,label_1/Ti_s cam/Binh_cam.00_03_54_01.Still005.jpg,label_1/Ti_s cam/Binh_cam.00_03_54_01.Still005.json
10,label_1/Binh_s cam/Binh_cam.00_39_56_10.Still190.jpg,label_1/Binh_s cam/Binh_cam.00_39_56_10.Still190.json
11,label_2/Kha_s cam/label_2.01_18_58_22.Still107.jpg,label_2/Kha_s cam/label_2.01_18_58_22.Still107.json
12,label_2/Ti_s cam/label_2.01_20_34_25.Still135.jpg,label_2/Ti_s cam/label_2.01_20_34_25.Still135.json
13,label_1/Binh_s cam/Binh_cam.00_06_31_17.Still040.jpg,label_1/Binh_s cam/Binh_cam.00_06_31_17.Still040.json
14,label_2/Binh_s cam/label_2.01_20_45_29.Still138.jpg,label_2/Binh_s cam/label_2.01_20_45_29.Still138.json
15,label_2/Binh_s cam/label_2.01_22_43_27.Still173.jpg,label_2/Binh_s cam/label_2.01_22_43_27.Still173.json
16,label_1/Kha_s cam/Binh_cam.00_14_39_01.Still072.jpg,label_1/Kha_s cam/Binh_cam.00_14_39_01.Still072.json
17,label_2/Binh_s cam/label_2.01_39_07_12.Still205.jpg,label_2/Binh_s cam/label_2.01_39_07_12.Still205.json
18,label_1/Kha_s cam/Binh_cam.00_42_57_11.Still241.jpg,label_1/Kha_s cam/Binh_cam.00_42_57_11.Still241.json
19,label_1/Binh_s cam/Binh_cam.00_15_08_10.Still078.jpg,label_1/Binh_s cam/Binh_cam.00_15_08_10.Still078.json
20,label_2/Ti_s cam/label_2.01_13_49_03.Still010.jpg,label_2/Ti_s cam/label_2.01_13_49_03.Still010.json
21,label_1/Binh_s cam/Binh_cam.00_39_33_22.Still186.jpg,label_1/Binh_s cam/Binh_cam.00_39_33_22.Still186.json
22,label_1/Ti_s cam/Binh_cam.00_06_46_00.Still045.jpg,label_1/Ti_s cam/Binh_cam.00_06_46_00.Still045.json
23,label_2/Ti_s cam/label_2.01_15_53_21.Still059.jpg,label_2/Ti_s cam/label_2.01_15_53_21.Still059.json
24,label_2/Kha_s cam/label_2.01_38_00_29.Still189.jpg,label_2/Kha_s cam/label_2.01_38_00_29.Still189.json
